URL da manifestação,Titulo,categoria,Situação,Registro,Alteração,Tipo,Nº Mês
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150630113834,Limpeza de rua,LIMPEZA,Aceito,30/06/15,30/06/2015 11:39,Solicitação,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521101844,Limpeza de ruas com feiras,LIMPEZA,Resolvida,21/05/15,11/06/2015 16:23,Dúvida,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520160447,Limpeza de terreno baldio,LIMPEZA,Aceito,20/05/15,20/05/2015 16:05,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713132453,LIMPEZA DE UM TERRENO DA PREFEITURA,LIMPEZA,Tramitando,13/07/15,06/08/2015 14:04,Denúncia,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150523102721,linhas de onibus agua verde-juvevê e agua-verde abranches que passarão a operar somente por cartão transporte,URBS,Resolvida,23/05/15,21/07/2015 11:49,Sugestão,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150618095403,Lixeiras irregulares,POSTURA,Tramitando,18/06/15,23/07/2015 14:07,Pedido de acesso à informação,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150723150943,Lixo orgânico x lixo reciclável,LIXO,Pendente,23/07/15,23/07/2015 15:09,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150602154107,Mal atendimento,MAL ATENDIMENTO,Resolvida,02/06/15,11/06/2015 16:35,Reclamação,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150819135800,Manutenção de Luminária,ILUMINAÇÃO,Resolvida,19/08/15,19/08/2015 14:33,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150819162735,Manutenção de Luminária,ILUMINAÇÃO,Tramitando,19/08/15,19/08/2015 16:37,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150720110427,Manutenção de Luminária,ILUMINAÇÃO,Tramitando,20/07/15,06/08/2015 16:11,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150820132126,Manutenção de Luminária,ILUMINAÇÃO,Aceito,20/08/15,20/08/2015 15:59,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521092645,Manutenção do Asfalto,OBRAS,Resolvida,21/05/15,11/06/2015 16:21,Solicitação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150824143212,Melhora a acesso a informação e requerimento de solicitação de informação,LAI,Pendente,24/08/15,24/08/2015 14:32,Solicitação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150617153955,melhora formulario 156 e transparência nas respostas e serviços,156,Aceito,17/06/15,30/06/2015 16:34,Solicitação,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721202756,Morosidade da máquina pública.,OUVIDORIA,Pendente,21/07/15,21/07/2015 20:27,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521135520,Multa,SETRAN,Resolvida,21/05/15,11/06/2015 16:25,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150731112949,Número de Reivindicações / Registros na Ouvidoria de Curitiba,OUVIDORIA,Resolvida,31/07/15,31/07/2015 11:46,Pedido de acesso à informação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150810151138,"O ""carro do sonho"" precisa ser parado não é folclore nem patrimônio da cidade",SOM ALTO,Aceito,10/08/15,20/08/2015 15:03,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150525230001,Obras p/ Rua: Edvino Antonio Deboni,OBRAS,Tramitando,25/05/15,23/07/2015 13:52,Pedido de acesso à informação,5
