URL da manifestação,Titulo,Situação,Registro,Alteração,Tipo,Nº Mês
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150708084537,Poda de árvore,Tramitando,08/07/15,06/08/2015 11:50,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150708084946,Coleta de lixo vegetal,Tramitando,08/07/15,06/08/2015 11:53,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150708094652,Pedido de Poda de Árvore,Tramitando,08/07/15,06/08/2015 11:55,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150708141238,ROÇADA DE MATO,Tramitando,08/07/15,06/08/2015 13:31,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150708141937,Tapa buraco,Tramitando,08/07/15,06/08/2015 13:34,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150709145724,Troca de Lâmpada,Tramitando,09/07/15,06/08/2015 13:35,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150709163235,Troca de Lâmpada,Tramitando,09/07/15,06/08/2015 11:56,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150709164122,Troca de Lâmpada,Tramitando,09/07/15,06/08/2015 11:44,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150709165359,descumprimento da lei de acesso a informação,Pendente,09/07/15,09/07/2015 16:53,Denúncia,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150710084004,Troca de Lâmpada,Tramitando,10/07/15,14/07/2015 15:20,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150710095035,Troca de Lâmpada,Tramitando,10/07/15,06/08/2015 13:39,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150710180142,anti-pó,Tramitando,10/07/15,06/08/2015 13:45,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713095833,conserto de placa de rua,Aceito,13/07/15,24/07/2015 11:36,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713100111,Recolhimento de lixo vegetal,Tramitando,13/07/15,06/08/2015 13:47,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713100125,conserto de placa de rua,Aceito,13/07/15,24/07/2015 11:42,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713100427,Conserto de placa de rua,Aceito,13/07/15,24/07/2015 11:45,Denúncia,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713101052,conserto da calçada,Pendente,13/07/15,13/07/2015 10:10,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713101631,Placa de Estar,Pendente,13/07/15,13/07/2015 10:16,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713102149,Troca de Lâmpada,Resolvida,13/07/15,04/08/2015 09:25,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713103429,Iluminação Pública,Pendente,13/07/15,13/07/2015 10:34,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713103731,Poda de árvores,Tramitando,13/07/15,06/08/2015 13:43,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713110626,Troca de Lâmpada,Tramitando,13/07/15,06/08/2015 13:52,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713115432,Fiscalização de estrutura de obra,Pendente,13/07/15,13/07/2015 11:54,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713132453,LIMPEZA DE UM TERRENO DA PREFEITURA,Tramitando,13/07/15,06/08/2015 14:04,Denúncia,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713155450,Retirar cachorros do terminal do Bairro Alto,Pendente,13/07/15,13/07/2015 15:54,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150713180342,Solicitaçao de providências a ouvidoria:Dão situaçao como concluida sem fazer nada,Pendente,13/07/15,13/07/2015 18:03,Denúncia,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150714095653,Recolha de poda,Tramitando,14/07/15,15/07/2015 12:01,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150715010645,Iluminação Publica,Tramitando,15/07/15,20/08/2015 15:14,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150715091559,ANTIPÓ e TAPA BURACO,Tramitando,15/07/15,06/08/2015 14:09,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150715144646,Verificação caixa telefonia,Pendente,15/07/15,15/07/2015 14:46,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150715153753,Bloqueio de entrada da residência por erosão causada pela chuva.,Tramitando,15/07/15,06/08/2015 14:41,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150715173544,Pedido de asfalto não atendido.,Tramitando,15/07/15,06/08/2015 14:11,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150717114705,Troca de lâmpada,Tramitando,17/07/15,20/08/2015 11:10,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150717140139,Aumento de taxa de iluminação pública.,Rejeitado,17/07/15,17/07/2015 14:03,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150717151846,Esclarecimentos  ações e providências concretas da ouvidoria,Pendente,17/07/15,17/07/2015 15:18,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150720085945,COLETA RESÍDUOS VEGETAIS DE JARDIM,Tramitando,20/07/15,06/08/2015 14:48,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150720092759,Coleta de lixo vegetal,Tramitando,20/07/15,06/08/2015 14:53,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150720103959,Troca de Lâmpada,Tramitando,20/07/15,06/08/2015 15:51,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150720105636,Tapa buraco,Tramitando,20/07/15,06/08/2015 15:56,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150720105947,Troca de Lâmpada,Tramitando,20/07/15,06/08/2015 16:10,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150720110427,Manutenção de Luminária,Tramitando,20/07/15,06/08/2015 16:11,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150720110750,IMPLANTAÇÃO DE LUMINÁRIA,Tramitando,20/07/15,06/08/2015 16:13,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150720132602,Feiras Largo da Ordem,Resolvida,20/07/15,21/07/2015 08:54,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150720165320,Limites de recarga do Cartão Transporte.,Aceito,20/07/15,20/07/2015 16:59,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721094934,Programa para o Idoso,Pendente,21/07/15,21/07/2015 09:49,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721103654,Troca de Lâmpada,Tramitando,21/07/15,06/08/2015 16:16,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721132816,Desratização,Tramitando,21/07/15,06/08/2015 16:23,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721133358,Tapa buraco,Tramitando,21/07/15,06/08/2015 16:20,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721133630,Retirada de sinalização,Tramitando,21/07/15,06/08/2015 16:19,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721134824,Corte de árvore,Tramitando,21/07/15,06/08/2015 15:45,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721140520,Troca de Lâmpada,Tramitando,21/07/15,06/08/2015 16:29,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721154252,iluminação pública,Tramitando,21/07/15,06/08/2015 16:35,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721163536,Troca de Lâmpada,Tramitando,21/07/15,06/08/2015 16:31,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721171835,será que nem a ouvidoria funciona??solicito resposta do senhor ouvidor,Pendente,21/07/15,21/07/2015 17:18,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721171949,Troca de lâmpada,Resolvida,21/07/15,07/08/2015 09:44,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721174453,descumprimento da lei 12.527/11 ( lei de acesso a informação),Pendente,21/07/15,21/07/2015 17:44,Denúncia,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150721202756,Morosidade da máquina pública.,Pendente,21/07/15,21/07/2015 20:27,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150722093246,Troca de Lâmpada,Resolvida,22/07/15,07/08/2015 09:46,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150722152332,Férias,Rejeitado,22/07/15,20/08/2015 11:32,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150723150943,Lixo orgânico x lixo reciclável,Pendente,23/07/15,23/07/2015 15:09,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150723175821,recolha de poda,Tramitando,23/07/15,20/08/2015 11:08,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150724095132,SOLICITA A TROCA DE LÂMPADA QUEIMADA.,Tramitando,24/07/15,06/08/2015 13:27,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150724222907,Senhor ouvidor de Curitiba solicitamos respostas e soluções!!!!,Aceito,24/07/15,27/07/2015 14:05,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150727084556,Coleta de caliça e demais lixos,Tramitando,27/07/15,06/08/2015 13:29,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150727102150,SOLICITA COLETA DE CALIÇAS.,Tramitando,27/07/15,06/08/2015 13:31,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150727102546,RESÍDUOS VEGETAIS DE JARDIM,Tramitando,27/07/15,06/08/2015 13:34,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150727103421,SOLICITA A TROCA DE LÂMPADA QUEIMADA.,Tramitando,27/07/15,10/08/2015 14:22,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150727145141,PODA DE MANUTENÇÃO EM VIA PÚBLICA,Tramitando,27/07/15,06/08/2015 13:38,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150727161422,Troca de Lâmpada,Tramitando,27/07/15,06/08/2015 13:41,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150728104419,Som alto,Tramitando,28/07/15,03/08/2015 11:39,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150728145753,Troca de Lâmpada,Tramitando,28/07/15,06/08/2015 13:44,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150728151609,Coleta de Lixo Vegetal,Tramitando,28/07/15,06/08/2015 13:48,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150728155347,Tapa buraco,Tramitando,28/07/15,06/08/2015 13:51,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150729110444,Coleta de lixo vegetal,Tramitando,29/07/15,06/08/2015 13:54,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150729134043,Troca de Lâmpada,Tramitando,29/07/15,06/08/2015 16:15,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150729225636,Solicitação audiência publica com o senhor ouvidor,Resolvida,29/07/15,06/08/2015 14:15,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150729232746,protocolo dado como concluido no 156,Pendente,29/07/15,29/07/2015 23:27,Reclamação,7
