http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160404105842 - smma|coleta de caliça
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160404112327 - smop|erosão em galeria de águas pluviais
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160404112950 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160405093244 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160405102917 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160405123612 - setran|fiscalização de trânsito
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160405141453 - smma|plantio de árvore
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160406105858 - urbs|transporte coletivo
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160406111350 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160406113008 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160406113644 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160406145220 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160406151050 - smma|coleta de entulho
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160406155649 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160406175456 - smma|inspeção residencial
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160406204928 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160407081742 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160407094239 - smop|fiscalização de obras
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160407094443 - smma|poda de árvore
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160407095309 - smma|inspeção mosquito da dengue
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160407145208 - smte|seguro desemprego
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160407151252 - smte|seguro desemprego
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160407171141 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160407171659 - smma|limpeza de praças e parques
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160408091809 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160408093153 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160408104742 - smelj|área de lazer
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160408105853 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160408155145 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160408164752 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160408174459 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160409210300 - sms|agendamento de visita médica
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160409210448 - sms|visita de equipe médica
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160411085635 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160411092615 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160411093742 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160411093949 - smu|fiscalização de comércio
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160411105417 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160411114022 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160411143317 - setran|fiscalização de trânsito
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160411165335 - sms|inspeção mosquito da dengue
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160411171042 - smma|coleta de lixo
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160411172428 - omc|central 156
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160412094703 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160412103504 - smma|poda de árvore
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160413085802 - smop|erosão em galeria de águas pluviais
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160413105603 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160413113805 - sms|falta de medicamento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160413124253 - setran|fiscalização de trânsito
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160413132747 - urbs|transporte coletivo
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160413152550 - setran|fiscalização de trânsito
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160413165152 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160413170854 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160413230418 - smu|acesso a informação
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160414110421 - smu|análise de solo
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160414112354 - smu|fiscalização de obras
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160414113139 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160414122700 - smma|coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160414155525 - setran|multa
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160414164443 - setran|fiscalização de trânsito
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160414180251 - smop|operação tapa buracos
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160415104050 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160415111720 - smma|limpeza de terreno
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160415114509 - setran|fechamento de estacionamento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160415160154 - smma|coleta de caliça
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160415212621 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160415223457 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160416122456 - sgm|cobrança de taxa de água
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160418110729 - sgm|implantação de asfalto
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160418113934 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160418144910 - smf|refic|iptu|
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160418152310 - sme|manutenção de escola municipal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160418221957 - smop|iluminação pública
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20160419104308 - smop|iluminação pública
